bank_stmt_id,credit_date,credit_amount,raw_narration
stmt_180,2026-08-05,1757.28,HDFC CMP RZP BATCH 900079 NET
stmt_181,2026-08-22,6338.96,CMS/RZP/UTR900080/NET_LESS_RFND
stmt_182,2026-08-06,9941.5,CMS/RZP/UTR900081/NET_SETTL
stmt_183,2026-08-15,19784.57,CMS/RZP/UTR900082/NET_SETTL
stmt_184,2026-08-05,38180.68,CMS/PAY/RZP/900083 NET
stmt_185,2026-08-03,11951.1,SETTL-REF-NO-900084 NET
stmt_186,2026-08-12,13905.54,CMS/RZP/UTR900085/NET_SETTL
stmt_187,2026-08-03,2659.65,CMS/RZP/UTR900086/NET_SETTL
stmt_188,2026-08-14,17215.8,CMS/RZP/UTR900087/ADJ_UNKN
stmt_189,2026-08-14,35033.99,CMS/RZP/UTR900088/NET_SETTL
stmt_190,2026-08-14,30936.22,UNKNOWN NEFT CREDIT NO_UTR_746
stmt_191,2026-08-21,20135.85,HDFC CMP RZP BATCH 900090 NET
stmt_192,2026-08-04,23935.87,CMS/RZP/UTR900091/NET_SETTL
stmt_193,2026-08-19,5000.0,BULK SETTLEMENT CLEARING
stmt_194,2026-08-07,12241.67,CMS/RZP/UTR900093/NET_LESS_RFND
stmt_195,2026-08-10,5002.27,CMS/RZP/UTR900094/NET_SETTL
stmt_196,2026-08-20,6988.43,CMS/RZP/UTR900095/NET_SETTL
stmt_197,2026-08-21,2496.28,CMS/RZP/UTR900096/NET_SETTL
stmt_198,2026-08-10,1583.75,CMS/RZP/UTR900097/NET_SETTL
stmt_199,2026-08-13,27385.52,CMS/RZP/UTR900098/NET_SETTL
stmt_200,2026-08-04,36012.08,CMS/RZP/UTR900099/NET_SETTL
stmt_201,2026-08-08,12224.15,CMS/RZP/UTR900100/NET_LESS_RFND
stmt_202,2026-08-21,12813.16,CMS/RZP/UTR900101/NET_LESS_RFND
stmt_203,2026-08-21,11966.38,CMS/RZP/UTR900102/NET_SETTL
stmt_204,2026-08-05,8076.13,CMS/RZP/UTR900103/NET_SETTL
stmt_205,2026-08-18,14874.59,CMS/RZP/UTR900104/NET_SETTL
stmt_206,2026-08-08,14034.74,CMS/RZP/UTR900105/NET_LESS_RFND
stmt_207,2026-08-17,5422.95,CMS/RZP/UTR900106/NET_SETTL
stmt_208,2026-08-20,32442.96,NEFT-CMS-RAZORPAY-900107 NET
stmt_209,2026-08-10,23266.05,CMS/RZP/UTR900108/NET_SETTL
stmt_210,2026-08-11,8751.37,SETTL-REF-NO-900109 NET
stmt_211,2026-08-07,26695.44,CMS/RZP/UTR900110/NET_SETTL
stmt_212,2026-08-12,30312.5,CMS/RZP/UTR900111/NET_SETTL
stmt_213,2026-08-05,27133.6,CMS/RZP/UTR900112/NET_SETTL
stmt_214,2026-08-11,35889.46,CMS/RZP/UTR900113/NET_SETTL
stmt_215,2026-08-19,20689.55,SETTL-REF-NO-900114 NET
stmt_216,2026-08-09,15543.62,CMS/RZP/UTR900115/NET_SETTL
stmt_217,2026-08-12,4998.72,CMS/RZP/UTR900116/NET_SETTL
stmt_218,2026-08-03,18823.95,CMS/RZP/UTR900117/NET_SETTL
stmt_219,2026-08-09,19992.84,HDFC CMP RZP BATCH 900118 NET
stmt_220,2026-08-21,25139.79,CMS/RZP/UTR900119/NET_SETTL
stmt_221,2026-08-17,11608.23,CMS/RZP/UTR900120/NET_SETTL
stmt_222,2026-08-13,13172.65,HDFC CMP RZP BATCH 900121 NET
stmt_223,2026-08-17,18595.13,CMS/RZP/UTR900122/NET_SETTL
stmt_224,2026-08-19,11679.94,CMS/RZP/UTR900123/NET_LESS_RFND
stmt_225,2026-08-11,18448.55,CMS/RZP/UTR900124/NET_LESS_RFND
stmt_226,2026-08-12,34673.52,CMS/RZP/UTR900125/NET_SETTL
stmt_227,2026-08-21,3659.76,CMS/RZP/UTR900126/NET_SETTL
stmt_228,2026-08-02,14554.55,CMS/RZP/UTR900127/NET_SETTL
stmt_229,2026-08-15,12474.29,CMS/RZP/UTR900128/NET_SETTL
stmt_230,2026-08-13,4164.8,CMS/RZP/UTR900129/NET_SETTL
stmt_231,2026-08-03,13897.69,CMS/RZP/UTR900130/NET_SETTL
stmt_232,2026-08-05,27785.44,CMS/RZP/UTR900131/NET_SETTL
stmt_233,2026-08-07,18536.75,CMS/RZP/UTR900132/NET_SETTL
stmt_234,2026-08-16,7875.22,CMS/RZP/UTR900133/NET_SETTL
stmt_235,2026-08-10,33335.05,CMS/RZP/UTR900134/NET_LESS_RFND
stmt_236,2026-08-05,20255.31,CMS/RZP/UTR900135/NET_LESS_RFND
stmt_237,2026-08-05,3496.38,NEFT-CMS-RAZORPAY-900136 NET
stmt_238,2026-08-17,11442.22,CMS/RZP/UTR900137/NET_LESS_RFND
stmt_239,2026-08-19,32776.11,CMS/RZP/UTR900138/NET_SETTL
stmt_240,2026-08-05,19413.72,CMS/RZP/UTR900139/NET_SETTL
stmt_241,2026-08-16,15220.58,CMS/RZP/UTR900140/NET_SETTL
stmt_242,2026-08-20,9019.82,CMS/RZP/UTR900141/NET_SETTL
stmt_243,2026-08-05,13146.66,CMS/RZP/UTR900142/NET_SETTL
stmt_244,2026-08-08,7230.72,CMS/RZP/UTR900143/NET_SETTL
stmt_245,2026-08-19,19538.06,CMS/RZP/UTR900144/NET_SETTL
stmt_246,2026-08-15,12695.89,CMS/RZP/UTR900145/NET_SETTL
stmt_247,2026-08-12,26743.46,CMS/RZP/UTR900146/NET_SETTL
stmt_248,2026-08-15,9703.69,CMS/RZP/UTR900147/ADJ_UNKN
stmt_249,2026-08-18,10131.93,CMS/RZP/UTR900148/NET_SETTL
stmt_250,2026-08-09,14331.47,CMS/RZP/UTR900149/NET_LESS_RFND
