payment_id,order_id,settlement_id,amount,payment_method,fee,tax,holdback,net_amount,status,captured_at
pay_2035,ord_1035,setl_5016,6731.91,UPI,0.0,0.0,0.0,6731.91,CAPTURED,2026-08-02 10:00:00
pay_2036,ord_1036,setl_5016,14596.85,UPI,0.0,0.0,0.0,14596.85,CAPTURED,2026-08-02 10:00:00
pay_2037,ord_1037,setl_5017,13923.58,UPI,0.0,0.0,0.0,13923.58,CAPTURED,2026-08-18 10:00:00
pay_2038,ord_1038,setl_5017,3067.26,UPI,0.0,0.0,0.0,3067.26,CAPTURED,2026-08-18 10:00:00
pay_2039,ord_1039,setl_5018,2808.37,CREDIT_CARD,153.24,10.11,0.0,2645.02,CAPTURED,2026-08-14 10:00:00
pay_2040,ord_1040,setl_5018,3393.81,NETBANKING,61.09,11.0,0.0,3321.72,CAPTURED,2026-08-14 10:00:00
pay_2041,ord_1041,setl_5018,13134.18,UPI,0.0,0.0,0.0,13134.18,CAPTURED,2026-08-14 10:00:00
pay_2042,ord_1042,setl_5019,5591.62,DEBIT_CARD,50.32,9.06,0.0,5532.24,CAPTURED,2026-08-09 10:00:00
pay_2043,ord_1043,setl_5019,5301.67,UPI,0.0,0.0,0.0,5301.67,CAPTURED,2026-08-09 10:00:00
pay_2044,ord_1044,setl_5019,8918.55,NETBANKING,160.53,28.9,891.86,7837.26,CAPTURED,2026-08-09 10:00:00
pay_2045,ord_1045,setl_5020,9290.03,DEBIT_CARD,83.61,15.05,0.0,9191.37,CAPTURED,2026-08-12 10:00:00
pay_2046,ord_1046,setl_5020,4193.48,CREDIT_CARD,83.87,15.1,419.35,3675.16,CAPTURED,2026-08-12 10:00:00
pay_2047,ord_1047,setl_5020,8307.55,CREDIT_CARD,166.15,29.91,0.0,8111.49,CAPTURED,2026-08-12 10:00:00
pay_2048,ord_1048,setl_5020,5781.21,UPI,0.0,0.0,0.0,5781.21,CAPTURED,2026-08-12 10:00:00
pay_2049,ord_1049,setl_5021,10169.95,UPI,0.0,0.0,0.0,10169.95,CAPTURED,2026-08-04 10:00:00
pay_2050,ord_1050,setl_5021,3281.68,CREDIT_CARD,65.63,11.81,0.0,3204.24,CAPTURED,2026-08-04 10:00:00
pay_2051,ord_1051,setl_5021,3023.4,DEBIT_CARD,27.21,4.9,0.0,2991.29,CAPTURED,2026-08-04 10:00:00
pay_2052,ord_1052,setl_5022,6905.9,CREDIT_CARD,138.12,24.86,0.0,6742.92,CAPTURED,2026-08-14 10:00:00
pay_2053,ord_1053,setl_5022,14417.56,CREDIT_CARD,288.35,51.9,0.0,14077.31,CAPTURED,2026-08-14 10:00:00
pay_2054,ord_1054,setl_5022,10125.88,DEBIT_CARD,91.13,16.4,1012.59,9005.76,CAPTURED,2026-08-14 10:00:00
pay_2055,ord_1055,setl_5022,3905.59,UPI,0.0,0.0,0.0,3905.59,CAPTURED,2026-08-14 10:00:00
pay_2056,ord_1056,setl_5023,9363.47,CREDIT_CARD,187.27,33.71,0.0,9142.49,CAPTURED,2026-08-02 10:00:00
pay_2057,ord_1057,setl_5023,8847.23,CREDIT_CARD,176.94,31.85,0.0,8638.44,CAPTURED,2026-08-02 10:00:00
pay_2058,ord_1058,setl_5023,2639.78,CREDIT_CARD,52.8,9.5,0.0,2577.48,CAPTURED,2026-08-02 10:00:00
pay_2059,ord_1059,setl_5023,13339.25,CREDIT_CARD,266.79,48.02,0.0,13024.44,CAPTURED,2026-08-02 10:00:00
pay_2060,ord_1060,setl_5024,7118.7,CREDIT_CARD,142.37,25.63,0.0,6950.7,CAPTURED,2026-08-02 10:00:00
pay_2061,ord_1061,setl_5025,13509.52,CREDIT_CARD,270.19,48.63,0.0,13190.7,CAPTURED,2026-08-20 10:00:00
pay_2062,ord_1062,setl_5025,4084.98,DEBIT_CARD,36.76,6.62,0.0,4041.6,CAPTURED,2026-08-20 10:00:00
pay_2063,ord_1063,setl_5025,9587.85,UPI,0.0,0.0,958.79,8629.06,CAPTURED,2026-08-20 10:00:00
pay_2064,ord_1064,setl_5025,4439.87,UPI,0.0,0.0,0.0,4439.87,CAPTURED,2026-08-20 10:00:00
pay_2065,ord_1065,setl_5026,6410.19,DEBIT_CARD,57.69,10.38,0.0,6342.12,CAPTURED,2026-08-07 10:00:00
pay_2066,ord_1066,setl_5026,6592.08,NETBANKING,118.66,21.36,0.0,6452.06,CAPTURED,2026-08-07 10:00:00
pay_2067,ord_1067,setl_5026,12922.61,CREDIT_CARD,258.45,46.52,0.0,12617.64,FAILED,2026-08-07 10:00:00
pay_2068,ord_1068,setl_5026,5600.5,CREDIT_CARD,112.01,20.16,0.0,5468.33,CAPTURED,2026-08-07 10:00:00
pay_2069,ord_1069,setl_5027,3681.61,UPI,0.0,0.0,368.16,3313.45,CAPTURED,2026-08-14 10:00:00
pay_2070,ord_1070,setl_5027,10347.56,UPI,0.0,0.0,0.0,10347.56,CAPTURED,2026-08-14 10:00:00
pay_2071,ord_1071,setl_5027,2350.6,DEBIT_CARD,21.16,3.81,235.06,2090.57,CAPTURED,2026-08-14 10:00:00
pay_2072,ord_1072,setl_5027,8683.68,UPI,0.0,0.0,0.0,8683.68,CAPTURED,2026-08-14 10:00:00
pay_2073,ord_1073,setl_5028,4272.27,UPI,0.0,0.0,0.0,4272.27,CAPTURED,2026-08-15 10:00:00
pay_2074,ord_1074,setl_5029,12606.21,DEBIT_CARD,258.65,20.42,0.0,12327.14,CAPTURED,2026-08-09 10:00:00
pay_2075,ord_1075,setl_5029,3751.22,UPI,53.1,0.0,0.0,3698.12,CAPTURED,2026-08-09 10:00:00
pay_2076,ord_1076,setl_5029,4085.61,CREDIT_CARD,81.71,14.71,0.0,3989.19,CAPTURED,2026-08-09 10:00:00
pay_2077,ord_1077,setl_5030,7242.99,UPI,0.0,0.0,0.0,7242.99,CAPTURED,2026-08-16 10:00:00
pay_2078,ord_1078,setl_5030,14474.15,CREDIT_CARD,289.48,52.11,0.0,14132.56,CAPTURED,2026-08-16 10:00:00
pay_2079,ord_1079,setl_5031,13968.86,DEBIT_CARD,125.72,22.63,0.0,13820.51,CAPTURED,2026-08-10 10:00:00
pay_2080,ord_1080,setl_5032,1977.57,CREDIT_CARD,39.55,7.12,0.0,1930.9,CAPTURED,2026-08-07 10:00:00
pay_2081,ord_1081,setl_5032,2255.3,NETBANKING,40.6,7.31,0.0,2207.39,CAPTURED,2026-08-07 10:00:00
pay_2082,ord_1082,setl_5033,7836.43,UPI,0.0,0.0,0.0,7836.43,CAPTURED,2026-08-14 10:00:00
pay_2083,ord_1083,setl_5034,3053.99,DEBIT_CARD,27.49,4.95,0.0,3021.55,CAPTURED,2026-08-15 10:00:00
pay_2084,ord_1084,setl_5034,13834.46,CREDIT_CARD,276.69,49.8,0.0,13507.97,CAPTURED,2026-08-15 10:00:00
pay_2085,ord_1085,setl_5034,9090.88,UPI,0.0,0.0,0.0,9090.88,CAPTURED,2026-08-15 10:00:00
pay_2086,ord_1086,setl_5034,4544.46,DEBIT_CARD,40.9,7.36,0.0,4496.2,CAPTURED,2026-08-15 10:00:00
pay_2087,ord_1087,setl_5035,3136.68,UPI,0.0,0.0,0.0,3136.68,CAPTURED,2026-08-01 10:00:00
pay_2088,ord_1088,setl_5035,13264.64,CREDIT_CARD,265.29,47.75,0.0,12951.6,FAILED,2026-08-01 10:00:00
pay_2089,ord_1089,setl_5035,14246.91,UPI,0.0,0.0,0.0,14246.91,CAPTURED,2026-08-01 10:00:00
pay_2090,ord_1090,setl_5036,11997.53,UPI,0.0,0.0,0.0,11997.53,CAPTURED,2026-08-16 10:00:00
pay_2091,ord_1091,setl_5036,4939.99,DEBIT_CARD,44.46,8.0,0.0,4887.53,CAPTURED,2026-08-16 10:00:00
pay_2092,ord_1092,setl_5036,6669.81,CREDIT_CARD,133.4,24.01,0.0,6512.4,CAPTURED,2026-08-16 10:00:00
pay_2093,ord_1093,setl_5036,4428.29,UPI,0.0,0.0,0.0,4428.29,CAPTURED,2026-08-16 10:00:00
pay_2094,ord_1094,setl_5037,3637.58,DEBIT_CARD,32.74,5.89,0.0,3598.95,CAPTURED,2026-08-18 10:00:00
pay_2095,ord_1095,setl_5037,8107.23,UPI,0.0,0.0,0.0,8107.23,CAPTURED,2026-08-18 10:00:00
pay_2096,ord_1096,setl_5038,4882.88,CREDIT_CARD,153.11,17.58,0.0,4712.19,CAPTURED,2026-08-08 10:00:00
pay_2097,ord_1097,setl_5038,4735.98,NETBANKING,85.25,15.34,0.0,4635.39,CAPTURED,2026-08-08 10:00:00
pay_2098,ord_1098,setl_5039,7441.36,UPI,0.0,0.0,0.0,7441.36,CAPTURED,2026-08-01 10:00:00
pay_2099,ord_1099,setl_5039,12994.98,UPI,0.0,0.0,1299.5,11695.48,CAPTURED,2026-08-01 10:00:00
pay_2100,ord_1100,setl_5039,8866.81,CREDIT_CARD,177.34,31.92,0.0,8657.55,CAPTURED,2026-08-01 10:00:00
pay_2101,ord_1101,setl_5039,14262.32,UPI,0.0,0.0,0.0,14262.32,CAPTURED,2026-08-01 10:00:00
pay_2102,ord_1102,setl_5040,7032.46,UPI,0.0,0.0,0.0,7032.46,CAPTURED,2026-08-14 10:00:00
pay_2103,ord_1103,setl_5040,4928.01,DEBIT_CARD,44.35,7.98,0.0,4875.68,CAPTURED,2026-08-14 10:00:00
pay_2104,ord_1104,setl_5040,14240.06,UPI,0.0,0.0,0.0,14240.06,CAPTURED,2026-08-14 10:00:00
pay_2105,ord_1105,setl_5040,2777.33,UPI,0.0,0.0,277.73,2499.6,FAILED,2026-08-14 10:00:00
pay_2106,ord_1106,setl_5041,973.28,UPI,0.0,0.0,0.0,973.28,CAPTURED,2026-08-15 10:00:00
pay_2107,ord_1107,setl_5041,1532.11,UPI,0.0,0.0,0.0,1532.11,CAPTURED,2026-08-15 10:00:00
pay_2108,ord_1108,setl_5041,9051.95,CREDIT_CARD,181.04,32.59,0.0,8838.32,CAPTURED,2026-08-15 10:00:00
pay_2109,ord_1109,setl_5042,12486.15,UPI,0.0,0.0,0.0,12486.15,CAPTURED,2026-08-08 10:00:00
pay_2110,ord_1110,setl_5042,11359.89,DEBIT_CARD,102.24,18.4,0.0,11239.25,CAPTURED,2026-08-08 10:00:00
pay_2111,ord_1111,setl_5042,10485.83,CREDIT_CARD,209.72,37.75,0.0,10238.36,CAPTURED,2026-08-08 10:00:00
pay_2112,ord_1112,setl_5043,9171.53,CREDIT_CARD,183.43,33.02,0.0,8955.08,CAPTURED,2026-08-16 10:00:00
pay_2113,ord_1113,setl_5044,14447.71,CREDIT_CARD,288.95,52.01,0.0,14106.75,CAPTURED,2026-08-01 10:00:00
pay_2114,ord_1114,setl_5044,14993.8,CREDIT_CARD,425.51,53.98,0.0,14514.31,CAPTURED,2026-08-01 10:00:00
pay_2115,ord_1115,setl_5045,3131.59,DEBIT_CARD,28.18,5.07,0.0,3098.34,CAPTURED,2026-08-16 10:00:00
pay_2116,ord_1116,setl_5045,1823.01,UPI,0.0,0.0,0.0,1823.01,CAPTURED,2026-08-16 10:00:00
pay_2117,ord_1117,setl_5045,12937.13,UPI,0.0,0.0,0.0,12937.13,CAPTURED,2026-08-16 10:00:00
pay_2118,ord_1118,setl_5046,1776.87,UPI,0.0,0.0,0.0,1776.87,CAPTURED,2026-08-13 10:00:00
pay_2119,ord_1119,setl_5046,13041.2,CREDIT_CARD,260.82,46.95,1304.12,11429.31,CAPTURED,2026-08-13 10:00:00
pay_2120,ord_1120,setl_5046,7198.66,UPI,0.0,0.0,0.0,7198.66,CAPTURED,2026-08-13 10:00:00
pay_2121,ord_1121,setl_5046,7728.15,UPI,0.0,0.0,772.82,6955.33,CAPTURED,2026-08-13 10:00:00
pay_2122,ord_1122,setl_5047,13272.28,DEBIT_CARD,119.45,21.5,1327.23,11804.1,CAPTURED,2026-08-05 10:00:00
pay_2123,ord_1123,setl_5047,12090.05,CREDIT_CARD,241.8,43.52,0.0,11804.73,FAILED,2026-08-05 10:00:00
pay_2124,ord_1124,setl_5047,6415.86,UPI,0.0,0.0,0.0,6415.86,CAPTURED,2026-08-05 10:00:00
pay_2125,ord_1125,setl_5047,14232.38,DEBIT_CARD,128.09,23.06,0.0,14081.23,CAPTURED,2026-08-05 10:00:00
pay_2126,ord_1126,setl_5048,12603.5,NETBANKING,226.86,40.83,0.0,12335.81,CAPTURED,2026-08-17 10:00:00
pay_2127,ord_1127,setl_5048,6062.0,NETBANKING,109.12,19.64,0.0,5933.24,CAPTURED,2026-08-17 10:00:00
pay_2128,ord_1128,setl_5048,13028.39,UPI,0.0,0.0,0.0,13028.39,CAPTURED,2026-08-17 10:00:00
pay_2129,ord_1129,setl_5048,14046.6,DEBIT_CARD,126.42,22.76,0.0,13897.42,CAPTURED,2026-08-17 10:00:00
pay_2130,ord_1130,setl_5049,6974.94,DEBIT_CARD,62.77,11.3,0.0,6900.87,CAPTURED,2026-08-10 10:00:00
pay_2131,ord_1131,setl_5049,5969.55,NETBANKING,107.45,19.34,0.0,5842.76,CAPTURED,2026-08-10 10:00:00
pay_2132,ord_1132,setl_5050,12912.19,UPI,0.0,0.0,0.0,12912.19,CAPTURED,2026-08-08 10:00:00
pay_2133,ord_1133,setl_5050,13744.74,UPI,0.0,0.0,0.0,13744.74,CAPTURED,2026-08-08 10:00:00
pay_2134,ord_1134,setl_5051,7783.22,DEBIT_CARD,70.05,12.61,0.0,7700.56,CAPTURED,2026-08-16 10:00:00
pay_2135,ord_1135,setl_5051,6884.44,DEBIT_CARD,61.96,11.15,0.0,6811.33,CAPTURED,2026-08-16 10:00:00
pay_2136,ord_1136,setl_5052,7307.61,NETBANKING,131.54,23.68,0.0,7152.39,CAPTURED,2026-08-14 10:00:00
pay_2137,ord_1137,setl_5053,14335.02,DEBIT_CARD,129.02,23.22,0.0,14182.78,CAPTURED,2026-08-03 10:00:00
pay_2138,ord_1138,setl_5053,8344.73,DEBIT_CARD,75.1,13.52,0.0,8256.11,CAPTURED,2026-08-03 10:00:00
pay_2139,ord_1139,setl_5053,4667.0,UPI,0.0,0.0,466.7,4200.3,CAPTURED,2026-08-03 10:00:00
pay_2140,ord_1140,setl_5053,11525.36,CREDIT_CARD,230.51,41.49,0.0,11253.36,CAPTURED,2026-08-03 10:00:00
pay_2141,ord_1141,setl_5054,5203.43,UPI,0.0,0.0,0.0,5203.43,CAPTURED,2026-08-10 10:00:00
pay_2142,ord_1142,setl_5055,2964.76,UPI,0.0,0.0,0.0,2964.76,CAPTURED,2026-08-17 10:00:00
pay_2143,ord_1143,setl_5055,3992.03,NETBANKING,71.86,12.93,0.0,3907.24,CAPTURED,2026-08-17 10:00:00
pay_2144,ord_1144,setl_5056,10169.19,CREDIT_CARD,203.38,36.61,0.0,9929.2,CAPTURED,2026-08-09 10:00:00
pay_2145,ord_1145,setl_5056,8425.67,UPI,0.0,0.0,0.0,8425.67,CAPTURED,2026-08-09 10:00:00
pay_2146,ord_1146,setl_5056,4837.74,NETBANKING,87.08,15.67,0.0,4734.99,CAPTURED,2026-08-09 10:00:00
pay_2147,ord_1147,setl_5057,12873.36,UPI,0.0,0.0,0.0,12873.36,CAPTURED,2026-08-10 10:00:00
pay_2148,ord_1148,setl_5057,4790.15,CREDIT_CARD,95.8,17.24,479.01,4198.1,CAPTURED,2026-08-10 10:00:00
pay_2149,ord_1149,setl_5057,6239.18,UPI,0.0,0.0,0.0,6239.18,CAPTURED,2026-08-10 10:00:00
pay_2150,ord_1150,setl_5057,14617.24,NETBANKING,263.11,47.36,0.0,14306.77,CAPTURED,2026-08-10 10:00:00
pay_2151,ord_1151,setl_5058,3675.57,UPI,0.0,0.0,0.0,3675.57,CAPTURED,2026-08-10 10:00:00
pay_2152,ord_1152,setl_5058,11628.33,CREDIT_CARD,232.57,41.86,0.0,11353.9,CAPTURED,2026-08-10 10:00:00
pay_2153,ord_1153,setl_5058,9598.14,UPI,86.49,0.0,0.0,9511.65,CAPTURED,2026-08-10 10:00:00
pay_2154,ord_1154,setl_5059,5237.43,UPI,0.0,0.0,0.0,5237.43,CAPTURED,2026-08-05 10:00:00
pay_2155,ord_1155,setl_5059,13208.68,UPI,0.0,0.0,0.0,13208.68,CAPTURED,2026-08-05 10:00:00
pay_2156,ord_1156,setl_5059,2885.89,NETBANKING,51.95,9.35,0.0,2824.59,CAPTURED,2026-08-05 10:00:00
pay_2157,ord_1157,setl_5060,7290.81,UPI,0.0,0.0,0.0,7290.81,CAPTURED,2026-08-10 10:00:00
pay_2158,ord_1158,setl_5061,11964.89,UPI,0.0,0.0,0.0,11964.89,CAPTURED,2026-08-13 10:00:00
pay_2159,ord_1159,setl_5062,2071.02,UPI,0.0,0.0,207.1,1863.92,CAPTURED,2026-08-09 10:00:00
pay_2160,ord_1160,setl_5062,8640.41,NETBANKING,155.53,28.0,0.0,8456.88,CAPTURED,2026-08-09 10:00:00
pay_2161,ord_1161,setl_5062,12445.9,NETBANKING,224.03,40.33,0.0,12181.54,CAPTURED,2026-08-09 10:00:00
pay_2162,ord_1162,setl_5063,4913.29,DEBIT_CARD,44.22,7.96,491.33,4369.78,CAPTURED,2026-08-05 10:00:00
pay_2163,ord_1163,setl_5064,13338.5,CREDIT_CARD,266.77,48.02,0.0,13023.71,CAPTURED,2026-08-12 10:00:00
pay_2164,ord_1164,setl_5064,14116.27,UPI,0.0,0.0,0.0,14116.27,CAPTURED,2026-08-12 10:00:00
pay_2165,ord_1165,setl_5065,1940.64,CREDIT_CARD,38.81,6.99,0.0,1894.84,CAPTURED,2026-08-15 10:00:00
pay_2166,ord_1166,setl_5065,5700.77,UPI,0.0,0.0,0.0,5700.77,CAPTURED,2026-08-15 10:00:00
pay_2167,ord_1167,setl_5065,12796.48,DEBIT_CARD,115.17,20.73,0.0,12660.58,CAPTURED,2026-08-15 10:00:00
pay_2168,ord_1168,setl_5066,4031.75,UPI,0.0,0.0,0.0,4031.75,CAPTURED,2026-08-01 10:00:00
pay_2169,ord_1169,setl_5066,11594.78,UPI,0.0,0.0,0.0,11594.78,CAPTURED,2026-08-01 10:00:00
pay_2170,ord_1170,setl_5066,5264.11,UPI,0.0,0.0,0.0,5264.11,FAILED,2026-08-01 10:00:00
pay_2171,ord_1171,setl_5067,12078.45,UPI,0.0,0.0,0.0,12078.45,CAPTURED,2026-08-05 10:00:00
pay_2172,ord_1172,setl_5067,5694.51,CREDIT_CARD,113.89,20.5,0.0,5560.12,FAILED,2026-08-05 10:00:00
pay_2173,ord_1173,setl_5067,4347.83,UPI,0.0,0.0,0.0,4347.83,CAPTURED,2026-08-05 10:00:00
pay_2174,ord_1174,setl_5068,11781.25,DEBIT_CARD,106.03,19.09,0.0,11656.13,CAPTURED,2026-08-03 10:00:00
pay_2175,ord_1175,setl_5068,14208.53,UPI,0.0,0.0,0.0,14208.53,CAPTURED,2026-08-03 10:00:00
pay_2176,ord_1176,setl_5068,8061.04,DEBIT_CARD,72.55,13.06,0.0,7975.43,CAPTURED,2026-08-03 10:00:00
pay_2177,ord_1177,setl_5068,7445.24,UPI,0.0,0.0,0.0,7445.24,CAPTURED,2026-08-03 10:00:00
pay_2178,ord_1178,setl_5069,1452.39,UPI,0.0,0.0,0.0,1452.39,CAPTURED,2026-08-03 10:00:00
pay_2179,ord_1179,setl_5069,5215.19,NETBANKING,93.87,16.9,0.0,5104.42,CAPTURED,2026-08-03 10:00:00
pay_2180,ord_1180,setl_5070,11999.89,UPI,0.0,0.0,0.0,11999.89,CAPTURED,2026-08-20 10:00:00
pay_2181,ord_1181,setl_5071,7047.55,UPI,0.0,0.0,0.0,7047.55,CAPTURED,2026-08-18 10:00:00
pay_2182,ord_1182,setl_5071,6531.85,UPI,0.0,0.0,0.0,6531.85,CAPTURED,2026-08-18 10:00:00
pay_2183,ord_1183,setl_5071,5927.36,UPI,0.0,0.0,0.0,5927.36,CAPTURED,2026-08-18 10:00:00
pay_2184,ord_1184,setl_5071,12560.69,UPI,0.0,0.0,1256.07,11304.62,CAPTURED,2026-08-18 10:00:00
pay_2185,ord_1185,setl_5072,10215.19,UPI,0.0,0.0,0.0,10215.19,CAPTURED,2026-08-05 10:00:00
pay_2186,ord_1186,setl_5072,6632.58,NETBANKING,119.39,21.49,663.26,5828.44,CAPTURED,2026-08-05 10:00:00
pay_2187,ord_1187,setl_5072,5030.51,UPI,0.0,0.0,0.0,5030.51,CAPTURED,2026-08-05 10:00:00
pay_2188,ord_1188,setl_5073,5576.65,DEBIT_CARD,50.19,9.03,0.0,5517.43,CAPTURED,2026-08-16 10:00:00
pay_2189,ord_1189,setl_5074,9330.43,CREDIT_CARD,186.61,33.59,0.0,9110.23,FAILED,2026-08-08 10:00:00
pay_2190,ord_1190,setl_5075,5589.84,UPI,0.0,0.0,0.0,5589.84,CAPTURED,2026-08-09 10:00:00
pay_2191,ord_1191,setl_5075,1508.99,CREDIT_CARD,30.18,5.43,0.0,1473.38,CAPTURED,2026-08-09 10:00:00
pay_2192,ord_1192,setl_5075,8192.0,UPI,0.0,0.0,0.0,8192.0,CAPTURED,2026-08-09 10:00:00
pay_2193,ord_1193,setl_5076,2755.91,CREDIT_CARD,55.12,9.92,275.59,2415.28,CAPTURED,2026-08-11 10:00:00
pay_2194,ord_1194,setl_5077,6505.66,UPI,0.0,0.0,0.0,6505.66,CAPTURED,2026-08-14 10:00:00
pay_2195,ord_1195,setl_5077,2107.9,CREDIT_CARD,42.16,7.59,0.0,2058.15,CAPTURED,2026-08-14 10:00:00
pay_2196,ord_1196,setl_5077,4972.08,UPI,70.44,0.0,0.0,4901.64,CAPTURED,2026-08-14 10:00:00
pay_2197,ord_1197,setl_5077,14207.2,CREDIT_CARD,284.14,51.15,0.0,13871.91,CAPTURED,2026-08-14 10:00:00
pay_2198,ord_1198,setl_5078,11331.7,UPI,0.0,0.0,0.0,11331.7,CAPTURED,2026-08-04 10:00:00
pay_2199,ord_1199,setl_5078,7753.8,CREDIT_CARD,155.08,27.91,0.0,7570.81,CAPTURED,2026-08-04 10:00:00
pay_2200,ord_1200,setl_5078,12995.58,UPI,0.0,0.0,1299.56,11696.02,CAPTURED,2026-08-04 10:00:00
pay_2201,ord_1201,setl_5078,13000.6,DEBIT_CARD,117.01,21.06,0.0,12862.53,CAPTURED,2026-08-04 10:00:00
pay_2202,ord_1202,setl_5079,802.42,UPI,0.0,0.0,0.0,802.42,CAPTURED,2026-08-10 10:00:00
pay_2203,ord_1203,setl_5079,12564.38,NETBANKING,226.16,40.71,1256.44,11041.07,CAPTURED,2026-08-10 10:00:00
pay_2204,ord_1204,setl_5079,4028.09,DEBIT_CARD,36.25,6.52,0.0,3985.32,CAPTURED,2026-08-10 10:00:00
pay_2205,ord_1205,setl_5079,4998.98,UPI,0.0,0.0,0.0,4998.98,CAPTURED,2026-08-10 10:00:00
pay_2206,ord_1206,setl_5080,13635.88,UPI,0.0,0.0,0.0,13635.88,CAPTURED,2026-08-17 10:00:00
pay_2207,ord_1207,setl_5080,12318.04,UPI,0.0,0.0,0.0,12318.04,CAPTURED,2026-08-17 10:00:00
